age,class,degree,sex,marital,race,region,partyid,happy,relig
61,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,E. NOR. CENTRAL,"IND,NEAR REP",HAPPY,NONE
35,MIDDLE CLASS,HIGH SCHOOL,MALE,WIDOWED,BLACK,MIDDLE ATLANTIC,INDEPENDENT,UNHAPPY,PROTESTANT
21,MIDDLE CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,NEW ENGLAND,STRONG DEMOCRAT,UNHAPPY,NONE
22,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,MOUNTAIN,"IND,NEAR DEM",HAPPY,NONE
32,WORKING CLASS,LT HIGH SCHOOL,MALE,NEVER MARRIED,BLACK,PACIFIC,INDEPENDENT,UNHAPPY,NONE
41,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,OTHER,PACIFIC,INDEPENDENT,HAPPY,INTER-NONDENOMINATIONAL
25,WORKING CLASS,BACHELOR,MALE,NEVER MARRIED,WHITE,W. NOR. CENTRAL,"IND,NEAR DEM",UNHAPPY,NONE
53,MIDDLE CLASS,JUNIOR COLLEGE,FEMALE,MARRIED,WHITE,NEW ENGLAND,NOT STR DEMOCRAT,HAPPY,NONE
41,MIDDLE CLASS,BACHELOR,FEMALE,MARRIED,WHITE,E. NOR. CENTRAL,STRONG DEMOCRAT,HAPPY,CATHOLIC
67,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,W. NOR. CENTRAL,INDEPENDENT,HAPPY,PROTESTANT
55,MIDDLE CLASS,GRADUATE,FEMALE,DIVORCED,BLACK,E. SOU. CENTRAL,NOT STR DEMOCRAT,HAPPY,PROTESTANT
48,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,SOUTH ATLANTIC,NOT STR REPUBLICAN,HAPPY,NONE
21,WORKING CLASS,LT HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,W. SOU. CENTRAL,INDEPENDENT,HAPPY,CATHOLIC
27,WORKING CLASS,JUNIOR COLLEGE,FEMALE,NEVER MARRIED,WHITE,PACIFIC,"IND,NEAR REP",HAPPY,PROTESTANT
56,WORKING CLASS,BACHELOR,MALE,DIVORCED,WHITE,MIDDLE ATLANTIC,STRONG REPUBLICAN,HAPPY,CATHOLIC
80,MIDDLE CLASS,HIGH SCHOOL,FEMALE,WIDOWED,WHITE,MIDDLE ATLANTIC,STRONG DEMOCRAT,HAPPY,PROTESTANT
